Wolbecker Straße,Promenade (nördlich Salzstraße),Hafenstraße,Gartenstraße,Hammer Straße,Hüfferstraße,Warendorfer Straße,Neutor,"Kanalpromenade, Abschnitt 5",Promenade (in Höhe Hals),"Kanalpromenade, Abschnitt 1",Lütkenbecker Weg,Goldstraße,Bohlweg,Kinderhauser Straße,Gasselstiege,Schmeddingstraße,Weißenburgstraße,"Kanalpromenade, Abschnitt 6",Bismarckallee,Coesfelder Kreuz,Grevener Straße
227265.0,347678.0,172220.0,65459.0,345384.0,145479.0,161672.0,288502.0,11151.0,234081.0,19936.0,60530.0,34109.0,106182.0,24287.0,65166.0,56179.0,33796.0,6661.0,118797.0,125156.0,34047.0
229461.0,361839.0,169427.0,71262.0,351832.0,135331.0,168430.0,257394.0,23405.0,226582.0,24351.0,75551.0,35596.0,109601.0,27738.0,69427.0,63817.0,15754.0,9238.0,131921.0,129383.0,34003.0
255430.0,409536.0,184673.0,79907.0,399096.0,149386.0,193268.0,279510.0,33037.0,257530.0,38157.0,90041.0,28496.0,121137.0,29508.0,81898.0,71599.0,21764.0,17568.0,139985.0,156114.0,38791.0
266953.0,442387.0,203315.0,82541.0,416632.0,185166.0,190508.0,355964.0,33325.0,300217.0,38829.0,88720.0,6250.0,124700.0,29614.0,85669.0,73262.0,40328.0,18056.0,167481.0,200564.0,42165.0
297586.0,493751.0,214212.0,89117.0,469026.0,205236.0,205527.0,380127.0,51016.0,344316.0,60173.0,108233.0,44899.0,138956.0,35198.0,102871.0,84727.0,48157.0,37510.0,186269.0,209934.0,51523.0
311226.0,508011.0,227606.0,93032.0,475808.0,163334.0,160396.0,404550.0,44976.0,207220.0,49125.0,109984.0,44734.0,145941.0,35012.0,102528.0,86770.0,35621.0,31116.0,195716.0,161945.0,52014.0
282776.0,451979.0,219085.0,80532.0,434576.0,203646.0,168665.0,359629.0,48144.0,313658.0,7483.0,97685.0,39481.0,129491.0,31815.0,94038.0,74034.0,14123.0,35530.0,178782.0,85448.0,16507.0
292704.0,473316.0,217578.0,89654.0,461552.0,176133.0,179242.0,303224.0,56778.0,305226.0,62376.0,105536.0,45528.0,106701.0,14574.0,80671.0,88470.0,37336.0,36896.0,162553.0,159771.0,39432.0
276342.0,462799.0,199505.0,88715.0,438760.0,131090.0,164613.0,294368.0,42485.0,286331.0,50415.0,66021.0,43946.0,133810.0,32723.0,82225.0,48231.0,37015.0,4675.0,150017.0,157449.0,35731.0
284600.0,459433.0,221162.0,84612.0,443560.0,103736.0,168878.0,398385.0,34456.0,331653.0,42631.0,95611.0,43746.0,140881.0,31992.0,86694.0,86236.0,35870.0,13273.0,193720.0,226130.0,44581.0
265220.0,426108.0,204426.0,70718.0,423142.0,183978.0,165743.0,355974.0,26507.0,302983.0,32587.0,98450.0,47658.0,147436.0,33272.0,82851.0,86522.0,42074.0,10324.0,182108.0,216843.0,48318.0
231171.0,362388.0,171647.0,64942.0,390014.0,161428.0,148980.0,277892.0,20271.0,235444.0,23460.0,79794.0,44375.0,126431.0,27780.0,65104.0,73435.0,35344.0,6462.0,142910.0,166881.0,40318.0
