Datum,Niederschlag_mm,Station,Zaehldaten,geometry,lon,lat,baseline_count,normalized_count
2024-01-01,0.8099999999999999,Wolbecker Straße,2194.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.24319239030606066
2024-01-01,0.8099999999999999,Promenade (nördlich Salzstraße),3672.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.2486032052854031
2024-01-01,0.8099999999999999,Hafenstraße,2398.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.35199363288280044
2024-01-01,0.8099999999999999,Gartenstraße,589.0,POINT (7.635686416805148 51.97154102512242),7.635686416805148,51.97154102512242,2713.2514124293784,0.2170827212332026
2024-01-01,0.8099999999999999,Hammer Straße,3084.0,POINT (7.62631 51.95462),7.62631,51.95462,14263.790960451977,0.21621180572196755
2024-01-01,0.8099999999999999,Hüfferstraße,952.0,POINT (7.61094 51.9617),7.61094,51.9617,5570.037249283668,0.17091447640182866
2024-01-01,0.8099999999999999,Warendorfer Straße,1745.0,POINT (7.63768 51.96185),7.63768,51.96185,5864.186440677966,0.2975689838057499
2024-01-01,0.8099999999999999,Neutor,2308.0,POINT (7.615511 51.966988),7.615511,51.966988,11173.782485875707,0.20655494260045268
2024-01-01,0.8099999999999999,"Kanalpromenade, Abschnitt 5",189.0,POINT (7.64893 51.91717),7.64893,51.91717,1240.6734693877552,0.15233661770269602
2024-01-01,0.8099999999999999,Promenade (in Höhe Hals),2237.0,POINT (7.6239339 51.9568468),7.6239339,51.9568468,9557.831428571428,0.23404890708920525
2024-01-01,0.8099999999999999,"Kanalpromenade, Abschnitt 1",242.0,POINT (7.66207 51.9798853),7.66207,51.9798853,1345.877245508982,0.17980837465491198
2024-01-01,0.8099999999999999,Lütkenbecker Weg,233.0,POINT (7.651947 51.949545),7.651947,51.949545,3110.277456647399,0.07491293083902334
2024-01-01,0.8099999999999999,Goldstraße,289.0,POINT (7.636264 51.967438),7.636264,51.967438,1420.4891640866872,0.20345104158947558
2024-01-01,0.8099999999999999,Bohlweg,1043.0,POINT (7.638286 51.966436),7.638286,51.966436,4350.190340909091,0.23975962389315514
2024-01-01,0.8099999999999999,Kinderhauser Straße,154.0,POINT (7.613773 51.978652),7.613773,51.978652,1036.6950146627566,0.14854899254058548
2024-01-01,0.8099999999999999,Gasselstiege,586.0,POINT (7.606586 51.979387),7.606586,51.979387,2806.578651685393,0.20879514623547005
2024-01-01,0.8099999999999999,Schmeddingstraße,377.0,POINT (7.59211 51.956734),7.59211,51.956734,2596.75,0.14518147684605756
2024-01-01,0.8099999999999999,Weißenburgstraße,318.0,POINT (7.619567 51.942891),7.619567,51.942891,1264.9108280254777,0.2514011208967174
2024-01-01,0.8099999999999999,"Kanalpromenade, Abschnitt 6",138.0,POINT (7.650465 51.887739),7.650465,51.887739,697.2668711656441,0.19791561266821817
2024-01-01,0.8099999999999999,Grevener Straße,191.0,POINT (7.612012 51.979612),7.612012,51.979612,1371.9252873563219,0.13922040927465806
2024-01-02,1.28,Wolbecker Straße,4153.0,POINT (7.636356 51.95921),7.636356,51.95921,9021.66386554622,0.4603363705292023
2024-01-02,1.28,Promenade (nördlich Salzstraße),6838.0,POINT (7.634015197473532 51.960595599885565),7.634015197473532,51.960595599885565,14770.525568181818,0.4629489972063144
2024-01-02,1.28,Hafenstraße,3783.0,POINT (7.62974 51.95426),7.62974,51.95426,6812.623229461757,0.5552927077546431
